[2021-09-28 08:17:44,145] [INFO] Middleware started  
[2021-09-28 08:18:34,307] [INFO] LOGIN SERVER: ONLINE 
[2021-09-28 08:18:34,308] [INFO] GAME SERVER: ONLINE 
[2021-09-28 08:18:42,491] [INFO] Middleware started  
[2021-09-28 08:18:51,018] [INFO] LOGIN SERVER: ONLINE 
[2021-09-28 08:18:57,018] [INFO] GAME SERVER: ONLINE 
[2021-09-28 08:19:42,948] [INFO] LOGIN SERVER: ONLINE 
[2021-09-28 08:19:44,310] [INFO] GAME SERVER: ONLINE 
[2021-09-28 08:20:19,196] [INFO] LOGIN SERVER: ONLINE 
[2021-09-28 08:20:20,511] [INFO] GAME SERVER: ONLINE 
[2021-09-28 08:20:51,532] [INFO] LOGIN SERVER: ONLINE 
[2021-09-28 08:20:51,533] [INFO] GAME SERVER: ONLINE 
[2021-09-28 08:21:22,568] [INFO] LOGIN SERVER: ONLINE 
[2021-09-28 08:21:22,573] [INFO] GAME SERVER: ONLINE 
[2021-09-28 08:21:53,609] [INFO] LOGIN SERVER: ONLINE 
[2021-09-28 08:21:53,610] [INFO] GAME SERVER: ONLINE 
[2021-09-28 08:22:24,625] [INFO] LOGIN SERVER: ONLINE 
[2021-09-28 08:22:24,626] [INFO] GAME SERVER: ONLINE 
[2021-09-28 08:22:55,652] [INFO] LOGIN SERVER: ONLINE 
[2021-09-28 08:22:55,653] [INFO] GAME SERVER: ONLINE 
